time,value
2026-06-17T13:22:34.735643816Z,89
2026-06-17T13:22:36.735056685Z,86
2026-06-17T13:22:40.736074448Z,85
2026-06-17T13:22:42.733987245Z,88
2026-06-17T13:22:46.733055884Z,86
2026-06-17T13:22:48.732680809Z,88
2026-06-17T13:22:50.730704858Z,85
2026-06-17T13:22:52.73151749Z,87
2026-06-17T13:22:54.73097633Z,85
2026-06-17T13:22:56.734849495Z,88
2026-06-17T13:22:58.730108115Z,86
2026-06-17T13:23:00.73142941Z,89
2026-06-17T13:23:02.731450363Z,88
2026-06-17T13:23:04.731745171Z,87
2026-06-17T13:23:08.740231428Z,86
2026-06-17T13:23:10.736770345Z,88
2026-06-17T13:23:12.738031727Z,87
2026-06-17T13:23:16.732469073Z,89
2026-06-17T13:23:20.73223035Z,87
2026-06-17T13:23:22.734168067Z,88
2026-06-17T13:23:24.734871777Z,86
2026-06-17T13:23:26.736318523Z,87
2026-06-17T13:23:28.735799199Z,88
2026-06-17T13:23:30.731568192Z,89
2026-06-17T13:23:32.731397958Z,85
2026-06-17T13:23:34.731942533Z,86
2026-06-17T13:23:38.731076918Z,87
2026-06-17T13:23:40.736328765Z,86
2026-06-17T13:23:42.736511541Z,85
2026-06-17T13:23:44.73420685Z,86
2026-06-17T13:23:46.733703862Z,85
2026-06-17T13:23:48.735390447Z,88
2026-06-17T13:23:50.732256529Z,86
2026-06-17T13:23:56.810263207Z,87
2026-06-17T13:24:02.730842176Z,88
2026-06-17T13:24:04.731624994Z,87
2026-06-17T13:24:06.73115379Z,86
2026-06-17T13:24:08.730823463Z,85
2026-06-17T13:24:10.731664518Z,88
2026-06-17T13:24:12.731057686Z,87
2026-06-17T13:24:14.744587606Z,86
2026-06-17T13:24:16.739350481Z,87
2026-06-17T13:24:20.732377971Z,85
2026-06-17T13:24:22.737732556Z,87
2026-06-17T13:24:26.734067692Z,86
2026-06-17T13:24:28.732005845Z,85
2026-06-17T13:24:30.737028284Z,87
2026-06-17T13:24:38.8212568Z,86
2026-06-17T13:24:42.818179739Z,89
2026-06-17T13:24:44.814398149Z,85
2026-06-17T13:24:46.885439031Z,88
2026-06-17T13:24:48.924984124Z,87
2026-06-17T13:24:51.013034723Z,86
2026-06-17T13:24:53.013694946Z,87
2026-06-17T13:24:54.920460032Z,86
2026-06-17T13:24:56.91387299Z,88
2026-06-17T13:24:58.831099876Z,87
2026-06-17T13:25:02.73398441Z,86
2026-06-17T13:25:04.735074653Z,87
2026-06-17T13:25:06.73224373Z,88
2026-06-17T13:25:08.779045586Z,87
2026-06-17T13:25:12.783667146Z,88
